the_geom,OBJECTID,GlobalID,Location,Hydrant_ID,Hydrant Number,Street Number,Hydrant Type,Street Name,Hydrant Color & Main Size,Last Used,Nozzle Diameter,Main Diameter,Cross Street,Date Collected,Map Quad,Hydrant Color,Hydrant Valve,Y,Dead End,X,Map Number,Inspection District,Last Used By,Supply Diameter,Comments
POINT (-78.85080303339 42.885076667582),"1,514",{45CA89B4-F3A7-4DC9-81FE-3C054030F87B},4E 10N ONE WAY SIGN; 553 WILLIAM,12-8-D2D-0101,101,SEC,MUELLER,WILLIAM,"RED w/ RED CAP, 10",,,10,ADAMS,11/08/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,051,305.3589999999",NO,"1,076,608.8",12,8,,0,
POINT (-78.872722882416 42.948640466411),"4,945",{91FF0B6C-E050-4E1B-9450-3871CD2F7093},20E SEC; OPP POLE 107,2-4-A2D-0014,14,SEC,KENNEDY K-81,CAMDEN,"RED w/ RED CAP, 6",,,6,WILBURY,07/19/2005 12:00:00 AM +0000,A2D,RED w/ RED CAP,YES,"1,074,490.55",NO,"1,070,813.8700000001",2,4,,0,
POINT (-78.865889721638 42.958028720099),"4,831",{3C26EE33-226A-4941-A15C-621217B822DE},66W POLE 100,2-4-A2B-0095,95,OPP 91,HOWARD IRON,VILLA,"RED w/ RED CAP, 6",,,6,MEDFORD,07/12/2005 12:00:00 AM +0000,A2B,RED w/ RED CAP,YES,"1,077,905.8899999999",NO,"1,072,654.8",2,4,,0,
POINT (-78.83731377229 42.907173233245),"7,685",{889AC5E6-0FAD-498F-AB5D-7AA9EF376D97},4E POLE 795,9-7-C2C-0023,23,795,HOWARD IRON,NORTHAMPTON,"RED w/ RED CAP, 10",,,10,FILLMORE,12/05/2006 12:00:00 AM +0000,C2C,RED w/ RED CAP,YES,"1,059,347.2039999999",NO,"1,080,248.2720000001",9,7,,0,
POINT (-78.890269507391 42.884740128504),"2,610",{046523C0-F144-49F9-9075-5FF12D67E868},5S 15W POLE 46; 57E POLE 48,14-1-E1A-0022,22,,KENNEDY K-11,ERIE BASIN,"RED w/ RED CAP, 6",,,6,TEMPLETON,06/16/2006 12:00:00 AM +0000,E1A,RED w/ RED CAP,NO,"1,051,218.79",YES,"1,066,031.1850000001",14,1,,0,
POINT (-78.897599170094 42.926976331029),"5,728",{34A0EC5E-1A60-44CD-AE0E-F05A9534AA74},60N POLE 1555,5-2-B1D-0025,25,1555,MUELLER,NIAGARA,"RED w/ RED CAP, 10",,,10,FOREST,09/13/2006 12:00:00 AM +0000,B1D,RED w/ RED CAP,YES,"1,066,618.952",NO,"1,064,124.2760000001",5,2,,0,
POINT (-78.833589985166 42.950159291261),"5,367",{F26AB6EA-6D18-47B7-A4C1-F19FB6636754},INSIDE PARK; 22W NW SIDE BASEBALL DIAMOND,3-5-A3C-0105,105,OPP 49,KENNEDY K-81,PARKSIDE COURT,"RED w/ RED CAP, 6",,,6,PARKSIDE,07/07/2005 12:00:00 AM +0000,A3C,RED w/ RED CAP,NO,"1,075,010.47",NO,"1,081,292.51",3,5,,0,
POINT (-78.891405351428 42.900338383762),481,{4DAAFF1D-0CD2-451F-83DF-5EF9B58AF308},,11-1-D1A-0022,22,612,RD WOOD,NIAGARA,"RED w/ RED CAP, 12",,,12,PORTER,08/31/2006 12:00:00 AM +0000,D1A,RED w/ RED CAP,YES,"1,056,904.6470000001",NO,"1,065,747.577",11,1,,0,
POINT (-78.885492188425 42.953312053112),"2,329",{8E01898D-4449-4AF5-BE94-4679853C0B64},27E 35N POLE 171,1-3-A1C-0103,103,168,MUELLER,REBECCA,"RED w/ RED CAP, 8",,,8,RACE,08/08/2005 12:00:00 AM +0000,A1C,RED w/ RED CAP,YES,"1,076,205.1399999999",NO,"1,067,401.28",1,3,,0,
POINT (-78.84232026112 42.873521935465),"2,833",{CE191280-F19E-4B9F-A629-65D4B3A5BEA8},40S POLE 956,15-11-E2C-0052,52,,MUELLER,SENECA,"RED w/ RED CAP, 12",,,12,SMITH,09/26/2006 12:00:00 AM +0000,E2C,RED w/ RED CAP,YES,"1,047,087.169",NO,"1,078,869.263",15,11,,0,
POINT (-78.802127849387 42.871567149908),"3,432",{8AA5AC9B-E228-4E39-94C5-353D8C69CD49},46N POLE 378,16-9-E3C-0021,21,SWC,KENNEDY K-81,CLINTON,"RED w/ RED CAP, 12",,,12,S OGDEN,07/26/2006 12:00:00 AM +0000,E3C,RED w/ RED CAP,YES,"1,046,344.192",NO,"1,089,641.1410000001",16,9,,0,
POINT (-78.849745570756 42.893241745186),"1,522",{44BA38AF-876F-4012-BC65-7651E4A0A343},17S POLE 84,12-8-D2D-0109,109,82,HOWARD IRON,GREY,"RED w/ RED CAP, 6",,,6,SYCAMORE,11/08/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,054,280.2",NO,"1,076,901.621",12,8,,0,
POINT (-78.878805501969 42.881866087558),"2,639",{5A7B35FB-4A5F-4987-8DDD-63C919DFB562},66N POLE 43,14-1-E1B-0026,26,,HOWARD IRON,LOWER TERRACE,"RED w/ WHITE CAP, 48",,,48,CHARLES,06/15/2006 12:00:00 AM +0000,E1B,RED w/ WHITE CAP,NO,"1,050,160.3629999999",NO,"1,069,099.9240000001",14,1,,0,
POINT (-78.850837684731 42.890390666514),"1,548",{295CC027-366A-457E-A4CF-343361134043},12E SEC; 10W POLE 627,12-8-D2D-0136,136,SEC,MUELLER,BROADWAY,"RED w/ RED CAP, 10",,,10,ADAMS,11/08/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,053,242.0600000001",NO,"1,076,605.6669999999",12,8,,0,
POINT (-78.848677698585 42.957386090301),"5,024",{5AD7A7B8-BEA2-4F4D-A276-BEE1E788933D},26W 24S POLE 51,3-4-A3A-0063,63,46,MUELLER,REDMOND,"RED w/ RED CAP, 6",,,6,KENMORE,06/28/2005 12:00:00 AM +0000,A3A,RED w/ RED CAP,NO,"1,077,656.6699999999",NO,"1,077,261.51",3,4,,0,
POINT (-78.864828134946 42.873985190152),"2,889",{68B71152-03A9-43FC-B656-C3CFBD72F0F2},8E POLE 334,15-11-E2D-0006,6,254,MUELLER,PERRY,"RED w/ RED CAP, 10",,,10,LOUISIANA,09/21/2006 12:00:00 AM +0000,E2D,RED w/ RED CAP,YES,"1,047,275.362",NO,"1,072,836.5049999999",15,11,,0,
POINT (-78.857429720586 42.932520904843),"6,154",{AEE3E268-15F0-4426-B65F-5C297D1E9E58},MAIN ENTRANCE BY PKNG LOT,6-4-B2A-0062,62,CITY BARN,MUELLER,S MEADOW,"RED w/ RED CAP, 4",,,4,,10/19/2005 12:00:00 AM +0000,B2A,RED w/ RED CAP,YES,"1,068,602.05",YES,"1,074,889.1399999999",6,4,,0,
POINT (-78.834190587141 42.956840296884),"5,201",{345DF245-67FA-4EEF-9B21-F7B1AD9A6FD6},22N 16E POLE 88,3-5-A3B-0058,58,87,RD WOOD,NICHOLSON,"RED w/ RED CAP, 6",,,6,NORTH PARKER,06/22/2005 12:00:00 AM +0000,A3B,RED w/ RED CAP,YES,"1,077,445.8500000001",NO,"1,081,138.98",3,5,,0,
POINT (-78.849077747477 42.938231335192),"6,193",{D0A83F7B-069B-4BE4-9488-F859F827FD70},20S SWC,6-4-B2B-0040,40,SWC,OTHER,WOODWARD,"RED w/ RED CAP, 6",,,6,RUSSELL,10/27/2005 12:00:00 AM +0000,B2B,RED w/ RED CAP,YES,"1,070,676.04",NO,"1,077,132.3600000001",6,4,,0,
POINT (-78.856779797724 42.915194268326),"7,496",{638DE77D-13AC-4CC3-8AEB-40987B10910C},22N POLE,9-7-C2A-0050,50,SWC,KENNEDY K-11,E FERRY,"RED w/ RED CAP, 6",,,6,PURDY,09/27/2006 12:00:00 AM +0000,C2A,RED w/ RED CAP,YES,"1,062,286.801",NO,"1,075,042.6640000001",9,7,,0,
POINT (-78.823570863956 42.895552030298),"1,822",{AA25AE19-98E6-4100-A9DC-71BAC806E519},20S SEC; 16S 7W TRAFFIC SIGNAL POLE,13-9-D3A-0019,19,SEC,MUELLER,BROADWAY,"RED w/ WHITE CAP, 0",,,36,KRUPP,04/18/2006 12:00:00 AM +0000,D3A,RED w/ WHITE CAP,YES,"1,055,101.0700000001",NO,"1,083,918.02",13,9,,0,
POINT (-78.820113236811 42.898799808732),"1,700",{D648C7A0-189C-426F-B267-0ED320B79FE4},15S 29W POLE 95,13-6-D3A-0022,22,94,MUELLER,LIDDELL,"RED w/ RED CAP, 0",,,6,BRIER,04/17/2006 12:00:00 AM +0000,D3A,RED w/ RED CAP,YES,"1,056,282.0900000001",NO,"1,084,847.8500000001",13,6,,0,
POINT (-78.851829150394 42.86644683471),"2,961",{6314516A-55B0-497D-BCBD-3D6C89EFAC4D},9N POLE 1,15-11-E2D-0079,79,2,RD WOOD,HARVEY,"RED w/ RED CAP, 8",,,8,BUFFALO RIVER,09/22/2006 12:00:00 AM +0000,E2D,RED w/ RED CAP,YES,"1,044,516.66",NO,"1,076,312.148",15,11,,0,
POINT (-78.842558075409 42.876327023521),"3,275",{A1C1D791-B18C-456F-837B-06AE8D16F758},20N 6E POLE 82,15-9-E2B-0037,37,86,KENNEDY K-81,FILLMORE,"RED w/ WHITE CAP, 16",,,16,DILLON,08/03/2006 12:00:00 AM +0000,E2B,RED w/ WHITE CAP,YES,"1,048,109.669",NO,"1,078,808.6629999999",15,9,,0,
POINT (-78.846976969182 42.921935867718),"6,361",{323B7935-DAB1-4ED8-B8A7-1965FFDF6BA0},4E 1S POLE 273,6-7-B2C-0023,23,SWC,HOWARD IRON,E DELAVAN,"RED w/ RED CAP, 6",,,6,PANSY,03/30/2006 12:00:00 AM +0000,B2C,RED w/ RED CAP,YES,"1,064,735.3899999999",NO,"1,077,676.28",6,7,,0,
POINT (-78.824309295918 42.908253181354),366,{625FE030-3B00-46EC-9F69-2B5F50281602},20S SWC,10-6-C3D-0013,13,SWC,MUELLER,GENESEE,"RED w/ RED CAP, 10",,,10,MOSELLE,09/28/2006 12:00:00 AM +0000,C3D,RED w/ RED CAP,YES,"1,059,730.544",NO,"1,083,733.4040000001",10,6,,0,
POINT (-78.812377298899 42.944990789132),"5,532",{692C38BE-8944-4AF2-81B4-33BC70842A4C},10W POLE 534,4-5-A4D-0046,46,OPP 531,OTHER,LASALLE,"RED w/ RED CAP, 6",,,6,BAILEY,06/16/2005 12:00:00 AM +0000,A4D,RED w/ RED CAP,NO,"1,073,110.6200000001",NO,"1,086,966.48",4,5,,0,
POINT (-78.879199148322 42.88389801212),"2,654",{0B6EF933-0242-49D5-9606-AF124B71A651},4N 24W NWC; 5W 2N POLE 83,14-1-E1B-0041,41,NWC,KENNEDY K-11,DELAWARE,"RED w/ RED CAP, 8",,,8,CHURCH,06/15/2006 12:00:00 AM +0000,E1B,RED w/ RED CAP,YES,"1,050,901.2620000001",NO,"1,068,997.0220000001",14,1,,0,
POINT (-78.844149848931 42.890753966755),"1,371",{E22D0EED-7FC2-4AD3-AFC9-2CB6C67552FF},35N 28W POLE 1065,12-8-D2C-0044,44,1072,MUELLER,SMITH,"RED w/ RED CAP, 6",,,6,BROADWAY,12/04/2006 12:00:00 AM +0000,D2C,RED w/ RED CAP,YES,"1,053,368.8400000001",NO,"1,078,398.2890000001",12,8,,0,
POINT (-78.895003891839 42.958983796044),"2,226",{54ECE685-D27E-4F5F-99A6-36CD557F5482},8S SEC; 20W POLE 168,1-3-A1B-0093,93,SEC,MUELLER,ONTARIO,"RED w/ WHITE CAP, 16",,,16,SKILLEN,07/25/2005 12:00:00 AM +0000,A1B,RED w/ WHITE CAP,YES,"1,078,281.51",NO,"1,064,862.5800000001",1,3,,0,
POINT (-78.803354925631 42.948201235616),"5,421",{F174F910-1510-42BB-AE84-F18688799690},30N NEC; 8N POLE 725,4-5-A4C-0006,6,NEC,MUELLER,EGGERT,"RED w/ RED CAP, 10",,,10,HIGHGATE,06/17/2005 12:00:00 AM +0000,A4C,RED w/ RED CAP,NO,"1,074,274.22",NO,"1,089,385.23",4,5,,0,
POINT (-78.823130938977 42.922676298175),"6,873",{62EBEDE0-E3FD-4C36-B87B-3B3FC5451E0A},8N 8E POLE 912,7-6-B3D-0047,47,NWC,KENNEDY JUMBO,E DELAVAN,"RED w/ RED CAP, 6",,,6,CAMBRIDGE,03/24/2006 12:00:00 AM +0000,B3D,RED w/ RED CAP,YES,"1,064,986.1299999999",NO,"1,084,064.0700000001",7,6,,0,
POINT (-78.86543031419 42.89323372935),"1,429",{9E97541C-9F7F-45B8-B6C7-5AFCA8BBFCDC},5S POLE 750,12-8-D2D-0010,10,VACANT LOT,OTHER,MICHIGAN,"RED w/ RED CAP, 12",,,12,CHERRY,10/11/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,054,290.9720000001",NO,"1,072,698.594",12,8,,0,
POINT (-78.849250702099 42.908234219936),"7,749",{D36740E0-337F-4516-89BE-32C245299D79},13W 14S STOP SIGN,9-7-C2C-0093,93,NWC,KENNEDY K-81,KINGSLEY,"RED w/ RED CAP, 8",,,8,ROEHRER,12/05/2006 12:00:00 AM +0000,C2C,RED w/ RED CAP,YES,"1,059,743.757",NO,"1,077,051.493",9,7,,0,
POINT (-78.810311401291 42.927499587597),"6,747",{01BD8674-E9CD-48E2-A8E3-DD695C11DDE8},35SW POLE 98,7-6-B3C-0062,62,91,MUELLER,EASTON,"RED w/ RED CAP, 6",,,6,SUFFOLK,03/03/2006 12:00:00 AM +0000,B3C,RED w/ RED CAP,YES,"1,066,734.45",NO,"1,087,502.4099999999",7,6,,0,
POINT (-78.906815329967 42.943135524345),"2,412",{6C51B952-67FE-4181-A738-E0F156D68F63},49N POLE 2160,1-3-A1D-0076,76,OPP 2167,OTHER,NIAGARA,"RED w/ RED CAP, 8",,,8,ARTHUR,08/01/2005 12:00:00 AM +0000,A1D,RED w/ RED CAP,NO,"1,072,517.53",NO,"1,061,678.6299999999",1,3,,0,
POINT (-78.864758224729 42.868064661505),"2,908",{F500DF37-2B66-44E6-BEB6-0896855C5913},16S SWC; 4E 10S POLE 27,15-11-E2D-0025,25,SWC,MUELLER,KENTUCKY,"RED w/ RED CAP, 8",,,8,OCONNELL,09/21/2006 12:00:00 AM +0000,E2D,RED w/ RED CAP,YES,"1,045,117.586",NO,"1,072,848.034",15,11,,0,
POINT (-78.829221976201 42.924140263079),"6,935",{A9ACF0F3-C45E-49FF-B978-C6DA8BD74BC4},23S 4W POLE 350,7-7-B3D-0002,2,350,KENNEDY K-81,GRIDER,"RED w/ RED CAP, 8",,,8,LITCHFIELD,03/28/2006 12:00:00 AM +0000,B3D,RED w/ RED CAP,YES,"1,065,524.3799999999",NO,"1,082,434.2",7,7,,0,
POINT (-78.887300617226 42.913047436103),"7,334",{49894A78-3C01-465F-8D4A-B77E27B07D5C},36E SEC; 33E 33N POLE 126; 33E 24N STOP SIGN,8-2-C1D-0065,65,SEC,HOWARD IRON,MASSACHUSETTS,"RED w/ RED CAP, 6",,,6,BRAYTON,07/26/2006 12:00:00 AM +0000,C1D,RED w/ RED CAP,YES,"1,061,532.442",NO,"1,066,864.1200000001",8,2,,0,
POINT (-78.869394611063 42.889630723716),965,{AFBE65F8-00AE-4BBF-B016-E34050DDAC8E},88S SWC; 60N POLE 284,11-8-D1C-0007,7,SWC,KENNEDY K-11,OAK,"RED w/ RED CAP, 10",,,10,E GENESSEE,09/06/2006 12:00:00 AM +0000,D1C,RED w/ RED CAP,YES,"1,052,981.4509999999",NO,"1,071,631.825",11,8,,0,
POINT (-78.878428747212 42.945827854941),"4,664",{D5649197-01FE-4AFE-9E5A-49C430BDC4C1},OPP POLE 1789,2-3-A2D-0017,17,1800,MUELLER,ELMWOOD,"RED w/ WHITE CAP, 16",,,16,HERTEL,07/18/2005 12:00:00 AM +0000,A2D,RED w/ WHITE CAP,YES,"1,073,470.8",NO,"1,069,282.6499999999",2,3,,0,
POINT (-78.808170274063 42.852118664163),"3,821",{7DEC8333-3874-48ED-AA6B-317C5EB5CDE3},6N 7E NEC,19-10-F2C-0019,19,OPP 177,MUELLER,CAZENOVIA,"RED w/ RED CAP, 6",,,6,GLENDHU,08/28/2006 12:00:00 AM +0000,F2C,RED w/ RED CAP,YES,"1,039,260.548",NO,"1,088,002.4750000001",19,10,,0,
POINT (-78.83499342731 42.941093097014),"5,338",{28A14402-78AB-4CF0-B304-06E39220E529},26E POLE 35,3-5-A3C-0076,76,OPP 36,RD WOOD,EAST MORRIS,"RED w/ RED CAP, 6",,,6,MAIN,07/06/2005 12:00:00 AM +0000,A3C,RED w/ RED CAP,YES,"1,071,707.4099999999",NO,"1,080,906.8899999999",3,5,,0,
POINT (-78.848345769182 42.894675718607),"1,337",{DD457EDC-4FF7-46F1-A876-85CF29FB898D},19S SWC; 15N NO PARKING SIGN,12-8-D2C-0010,10,SWC,KENNEDY K-11,SYCAMORE,"RED w/ WHITE CAP, 8",,,8,JOHNSON,12/04/2006 12:00:00 AM +0000,D2C,RED w/ WHITE CAP,YES,"1,054,801.6240000001",NO,"1,077,278.3689999999",12,8,,0,
POINT (-78.80203438376 42.929123603558),"6,762",{F2449AE8-7CFA-453E-B42E-DE3227683889},15E POLE 270,7-6-B3C-0077,77,OPP 226,RD WOOD,EDISON,"RED w/ RED CAP, 12",,,12,WESTON,03/03/2006 12:00:00 AM +0000,B3C,RED w/ RED CAP,YES,"1,067,320.45",NO,"1,089,720.7",7,6,,0,
POINT (-78.842089630971 42.889738395228),"1,391",{42AB4FDF-98EE-4587-86E7-0AA9CB274512},17N NWC; 33S NO PARKING SIGN,12-8-D2C-0064,64,NWC,OTHER,PADEREWSKI,"RED w/ RED CAP, 6",,,6,DETROIT,12/04/2006 12:00:00 AM +0000,D2C,RED w/ RED CAP,YES,"1,052,997.014",NO,"1,078,949.247",12,8,,0,
POINT (-78.841698658832 42.947461904205),"5,130",{7BC54939-DE7E-4855-9F73-7AF17ADBC3A8},8S SWC; 25N POLE 256,3-4-A3D-0077,77,SWC,MUELLER,HERTEL,"RED w/ RED CAP, 12",,,12,VOORHEES,06/30/2005 12:00:00 AM +0000,A3D,RED w/ RED CAP,YES,"1,074,033.97",NO,"1,079,118.6200000001",3,4,,0,
POINT (-78.855994461755 42.890193648912),"1,583",{72F90736-FBBD-42A8-B657-17C4905C8AC5},23N 28W POLE 185,12-8-D2D-0173,173,NWC,KENNEDY K-11,MORTIMER,"RED w/ RED CAP, 6",,,6,REY,11/09/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,053,174.6910000001",NO,"1,075,223.517",12,8,,0,
POINT (-78.843880355969 42.914740880344),"7,551",{965C7FD3-87BA-4A38-94FA-A07866FC5E49},41N 2E POLE 539,9-7-C2B-0005,5,NWC,OTHER,E FERRY,"RED w/ RED CAP, 8",,,8,HUMBOLDT,05/03/2006 12:00:00 AM +0000,C2B,RED w/ RED CAP,YES,"1,062,110.6000000001",NO,"1,078,497.5700000001",9,7,,0,
POINT (-78.807227342073 42.911173747269),294,{EDCF7F5E-5D86-4954-9462-8ABF64BBB2DF},27N POLE 48,10-6-C3C-0054,54,50,HOWARD IRON,ZELMER,"RED w/ RED CAP, 6",,,6,BLOCK,04/07/2006 12:00:00 AM +0000,C3C,RED w/ RED CAP,YES,"1,060,782.3",NO,"1,088,312.55",10,6,,0,
POINT (-78.878131276116 42.869990817404),"2,513",{8170D6A0-8734-478A-A649-2C8827961E8B},51N 18W POLE 1; 10E 7W RR CROSSING,14-11-E1C-0001,1,VACANT LOT,OTHER,S MICHIGAN,"RED w/ WHITE CAP, 16",,,16,FUHRMANN,06/09/2006 12:00:00 AM +0000,E1C,RED w/ WHITE CAP,YES,"1,045,831.83",NO,"1,069,265.477",14,11,,0,
POINT (-78.854137375623 42.884954272163),"1,511",{E5992D67-1302-49A2-8E42-DB071C5DD353},27W SWC; 12W 6S STOP SIGN,12-8-D2D-0098,98,SWC,MUELLER,WILLIAM,"RED w/ RED CAP, 12",,,12,JEFFERSON,11/08/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,051,263.6089999999",NO,"1,075,715.04",12,8,,0,
POINT (-78.893331630292 42.909928539253),"7,324",{A4229532-D6A3-4F5F-B5F7-794BDC69B1FD},10E SEC; 11N 6E STOP SIGN,8-2-C1D-0055,55,SEC,KENNEDY K-81,MASSACHUSETTS,"RED w/ WHITE CAP, 36",,,36,PLYMOUTH,07/26/2006 12:00:00 AM +0000,C1D,RED w/ WHITE CAP,YES,"1,060,401.6580000001",NO,"1,065,244.328",8,2,,0,
POINT (-78.862828818929 42.894146163547),"1,490",{8166B121-2259-4838-8F9A-1FB43E3E0265},11N 39E NEC; 5N NO STANDING SIGN,12-8-D2D-0077,77,NEC,MUELLER,MULBERRY,"RED w/ RED CAP, 8",,,8,BFNC,10/12/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,054,621.1810000001",NO,"1,073,396.817",12,8,,0,
POINT (-78.854044920448 42.88532942886),"1,575",{FD2E720B-058E-44E8-B6EF-22D7F4160374},26N NWC; 7N POLE 380,12-8-D2D-0164,164,NWC,MUELLER,JEFFERSON,"RED w/ RED CAP, 10",,,10,WILLIAM,11/09/2006 12:00:00 AM +0000,D2D,RED w/ RED CAP,YES,"1,051,400.254",NO,"1,075,740.2579999999",12,8,,0,
POINT (-78.815995251693 42.896823439789),"1,688",{4CDB4A6E-C096-48B9-ADBD-8A0033A97982},17N NWC; 10S STOP SIGN,13-6-D3A-0010,10,NWC,MUELLER,BROADWAY,"RED w/ RED CAP, 0",,,6,SHEPHARD,04/17/2006 12:00:00 AM +0000,D3A,RED w/ RED CAP,YES,"1,055,558.73",NO,"1,085,949.25",13,6,,0,
POINT (-78.831446055444 42.946023729754),"5,355",{D080DAC5-AA27-4C81-AE6C-CB2D94D57F85},OPP POLE 2952,3-5-A3C-0093,93,2952,MUELLER,MAIN,"RED w/ YELOW CAP, 16",,,16,HERTEL,07/06/2005 12:00:00 AM +0000,A3C,RED w/ YELOW CAP,YES,"1,073,501.5600000001",NO,"1,081,862.04",3,5,,0,
POINT (-78.828166653209 42.843330097789),"4,259",{41BE967B-1463-45D4-A00E-65267F432907},34S 33W POLE 112,21-10-G2A-0033,33,109,MUELLER,ALTRURIA,"RED w/ RED CAP, 6",,,6,HOPKINS,10/29/2004 12:00:00 AM +0000,G2A,RED w/ RED CAP,YES,"1,036,072.55",NO,"1,082,631.21",21,10,,0,
POINT (-78.819725188254 42.909700585606),411,{2827518D-C3D7-4324-ACA6-C73E2257C184},33W POLE 37,10-6-C3D-0062,62,19,OTHER,DOAT,"RED w/ WHITE CAP, 16",,,16,RUSTIC,10/03/2006 12:00:00 AM +0000,C3D,RED w/ WHITE CAP,YES,"1,060,254.5649999999",NO,"1,084,962.9839999999",10,6,,0,
